path,role
final3/,Core Python package for data loading and feature engineering and training and policy replay and reporting.
final3/vendor/prefix_predict_model_holdout_answer/,Vendored answer-aware trainer and feature engineer and policy evaluator and historical posthoc scripts.
final3/vendor/architecture_baselines/,Vendored MLP and BERT and local LLM-logit and Qwen baseline code.
scripts/,Shell entrypoints for main runs and ablations and robustness and MLP and BERT and token audits.
configs/rq_final.yaml,Main experiment configuration for datasets and feature families and model variants and policy thresholds.
configs/paths.example.yaml,Portable path template for a fresh machine.
paper_reporting/build_rq_tables_bundle.py,Post-hoc RQ1/RQ2/RQ3 table generator used for the current paper tables.
paper_reporting/build_internal_review_swe16.py,SWE full-16 tokenizer/ranking/token audit script.
results_tables/rq1_main.csv,Final RQ1 main table values.
results_tables/rq1_threshold_sweep_compact.csv,Compact threshold sweep for all three benchmarks.
results_tables/threshold_sweep_all_benchmarks.csv,Full threshold sweep with detailed token columns.
results_tables/rq2_top10.csv,RQ2 top-10 agents per benchmark with delta P@1 and rank changes.
results_tables/rq2_per_agent_all.csv,RQ2 all-agent results for SWE/TB/Toolathlon.
results_tables/rq2_summary.csv,RQ2 all-agent Spearman rho and mean absolute delta P@1.
results_tables/rq3_ablation_locked095_paper.csv,Paper-facing RQ3 locked 0.95 ablation table.
results_tables/rq3_ablation_locked095.csv,Full RQ3 locked 0.95 ablation table with extra diagnostic columns.
results_tables/token_input_output_summary.csv,Aggregate split of saved input/context-call tokens and output tokens.
results_tables/token_input_output_by_agent.csv,Per-agent split of saved input/context-call tokens and output tokens.
results_tables/model_price_template.csv,Template for filling model-specific input/output prices.
results_tables/tables_latex_draft.tex,LaTeX draft for RQ1/RQ2/RQ3.
