block_order,block,columns,included_in_main,source,description
1,dense_manual_numeric,66,yes,"NUMERIC_FEATURES in final3/vendor/prefix_predict_model_holdout_answer/feature_engineer.py, excluding ANSWER_NUMERIC_FEATURES","Prefix depth, action/tool counts, last-step sizes, tool/action cumulative counts, first/recency signals, ratios, test-result counts, loop/streak indicators, thought and assistant-content aggregate counts."
2,dense_gold_answer_numeric,57,yes,ANSWER_NUMERIC_FEATURES in final3/vendor/prefix_predict_model_holdout_answer/answer_features.py,"Structured SWE gold-answer metadata: patch/test sizes, files/hunks/line counts, fail-to-pass counts, keyword counts, directory depth, and lexical hit/Jaccard overlaps between trajectory text and gold-answer tokens."
3,dense_manual_bool,36,yes,"BOOL_FEATURES in final3/vendor/prefix_predict_model_holdout_answer/feature_engineer.py, excluding ANSWER_BOOL_FEATURES","Last-step tool/observation/error/test flags, first-event seen flags, global error/test flags, repetition/loop flags, and submit/test ordering flags."
4,dense_gold_answer_bool,20,yes,ANSWER_BOOL_FEATURES in final3/vendor/prefix_predict_model_holdout_answer/answer_features.py,Structured boolean gold-answer indicators such as hints/test-patch availability and file/API/test-token hit flags.
5,dense_action_taxonomy_one_hot,13,yes,LabelEncoder over last_step_action_major_type and last_step_action_primary_subtype,One-hot encoding of the last action major type and primary subtype.
6,dense_gold_answer_categorical_one_hot,192,yes,LabelEncoder over ANSWER_CATEGORICAL_FEATURES,"One-hot encoding of repository, difficulty, version, primary patch extension, and primary patch directory."
7,dense_model_id_one_hot_masked,18,yes_masked,LabelEncoder over model_id in shared FeatureEngineer; main training passes --mask-train-model-id,"The columns exist in the matrix, but train/valid/test model_id is set to __MISSING__; concrete model identity indicators are not usable by the main model."
8,tfidf_task_prompt_svd,64,yes,task_prompt_text,"TF-IDF text block reduced to 64 SVD dimensions. Vectorizer settings: ngram_range=(1, 2), min_df=5, max_features=30000, sublinear_tf=True."
9,tfidf_prefix_action_svd,64,yes,prefix_action_text,"TF-IDF text block reduced to 64 SVD dimensions. Vectorizer settings: ngram_range=(1, 2), min_df=5, max_features=30000, sublinear_tf=True."
10,tfidf_prefix_feedback_svd,64,yes,prefix_feedback_text,"TF-IDF text block reduced to 64 SVD dimensions. Vectorizer settings: ngram_range=(1, 2), min_df=5, max_features=30000, sublinear_tf=True."
11,tfidf_last_action_svd,64,yes,last_action_text,"TF-IDF text block reduced to 64 SVD dimensions. Vectorizer settings: ngram_range=(1, 2), min_df=5, max_features=30000, sublinear_tf=True."
12,tfidf_last_feedback_svd,64,yes,last_feedback_text,"TF-IDF text block reduced to 64 SVD dimensions. Vectorizer settings: ngram_range=(1, 2), min_df=5, max_features=30000, sublinear_tf=True."
13,tfidf_prefix_thought_svd,64,no_main_J_or_fine_grained_only,prefix_thought_text,"Available in the shared FeatureEngineer and used by J/fine-grained ablations, but not by the main I_LightGBM_Dense_AF run."
14,tfidf_last_thought_svd,64,no_main_J_or_fine_grained_only,last_thought_text,"Available in the shared FeatureEngineer and used by J/fine-grained ablations, but not by the main I_LightGBM_Dense_AF run."
15,tfidf_prefix_assistant_content_svd,64,no,prefix_assistant_content_text,"Available in the shared FeatureEngineer, not used by the main I_LightGBM_Dense_AF run."
16,tfidf_last_assistant_content_svd,64,no,last_assistant_content_text,"Available in the shared FeatureEngineer, not used by the main I_LightGBM_Dense_AF run."
17,tfidf_gold_patch_svd,64,no,gold_patch_text,"Raw gold-answer text TF-IDF block available in the shared FeatureEngineer, not used by the main I_LightGBM_Dense_AF run; main uses structured gold-answer dense features."
18,tfidf_gold_test_patch_svd,64,no,gold_test_patch_text,"Raw gold-answer text TF-IDF block available in the shared FeatureEngineer, not used by the main I_LightGBM_Dense_AF run; main uses structured gold-answer dense features."
19,tfidf_gold_fail_to_pass_svd,64,no,gold_fail_to_pass_text,"Raw gold-answer text TF-IDF block available in the shared FeatureEngineer, not used by the main I_LightGBM_Dense_AF run; main uses structured gold-answer dense features."
20,tfidf_gold_answer_summary_svd,64,no,gold_answer_summary_text,"Raw gold-answer text TF-IDF block available in the shared FeatureEngineer, not used by the main I_LightGBM_Dense_AF run; main uses structured gold-answer dense features."
