benchmark,n_test_agents,threshold,precision_resolved,recall_resolved,f1_resolved,coverage_pct,decision_accuracy_pct,global_step_save_pct,input_token_save_pct_est,output_token_save_pct_est,external_input_token_save_pct_est,resolve_change_pp
SWE-bench Verified,16,0.75,88.3876,92.4149,90.3564,78.911,88.05,63.3727,81.3989,69.2486,83.6569,2.1781
SWE-bench Verified,16,0.8,89.5873,93.4169,91.4621,73.7732,89.3713,58.6196,75.5899,63.8002,82.3736,1.9218
SWE-bench Verified,16,0.85,90.9063,94.4989,92.6678,66.2908,90.8581,51.7809,67.4425,56.504,80.5305,1.6015
SWE-bench Verified,16,0.9,92.0589,96.3158,94.1393,56.1563,92.7219,42.698,55.4809,46.6575,62.8915,1.5759
SWE-bench Verified,16,0.95,93.8519,97.5864,95.6828,34.811,95.0313,25.9654,32.8881,28.5542,6.7075,0.7816
SWE-bench Verified,16,0.97,93.4783,98.1208,95.7433,20.4356,95.9248,16.5688,22.0567,17.9893,4.1107,0.4741
TerminalBench,33,0.75,75.9659,70.1526,72.9436,43.672,85.8054,47.7436,73.0969,47.8601,39.9577,-0.9115
TerminalBench,33,0.8,79.2012,72.6882,75.8051,36.7108,88.7824,40.4229,63.8826,41.0368,33.846,-0.7298
TerminalBench,33,0.85,82.0413,75.8638,78.8317,28.6037,91.9049,32.3714,52.6018,33.3027,27.2929,-0.4279
TerminalBench,33,0.9,85.1732,77.1569,80.9671,20.3353,94.6671,23.2638,38.4921,24.3173,19.6593,-0.2814
TerminalBench,33,0.95,90.7631,77.3973,83.549,10.1032,97.418,11.9678,18.7239,12.35,9.8054,-0.126
TerminalBench,33,0.97,92.4051,78.4946,84.8837,4.9036,98.4459,5.9857,8.6349,6.0407,4.4593,-0.041
Toolathlon,22,0.75,81.25,19.7397,31.7627,51.5458,89.3402,42.6793,67.8522,50.6754,31.822,-4.9044
Toolathlon,22,0.8,80.7018,15.3333,25.7703,44.8707,91.7006,37.176,62.4418,45.0409,28.9322,-3.4148
Toolathlon,22,0.85,81.8182,10.1695,18.0905,36.959,93.8023,30.6925,55.2669,38.0059,25.0944,-2.1782
Toolathlon,22,0.9,,0.0,,27.5717,96.6361,22.9862,43.6744,29.1483,19.7792,-0.9275
Toolathlon,22,0.95,,0.0,,16.3435,98.6242,13.4063,27.5649,17.3655,12.0524,-0.2248
Toolathlon,22,0.97,,0.0,,9.4154,99.403,7.5096,14.8642,9.8324,6.3188,-0.0562
