variant,profile,predictor,coverage_pct,decision_accuracy_pct,global_step_save_pct,resolve_change_pp,mean_abs_resolve_change_pp,n_folds,n_trajectories
Full (feature groups),feature_groups,I_LightGBM_Dense_AF,34.952,94.978,26.0977,0.7816,1.1656,16,7805
- Task-prompt TF-IDF,feature_groups,Abl_NoTaskPromptTfidf_LightGBM,35.1826,95.3751,26.1247,0.6278,0.936,16,7805
- Task-signal,feature_groups,Abl_NoTaskSignal_LightGBM,35.3107,94.9202,26.6259,0.6406,0.923,16,7805
- Gold-answer,feature_groups,Abl_NoGoldAnswer_LightGBM,32.3639,94.6952,24.1975,0.8712,1.0255,16,7805
- Task-signal & Gold-answer,feature_groups,Abl_NoTaskSignal_NoGoldAnswer_LightGBM,23.9974,94.1805,18.1129,0.5509,0.6792,16,7805
+ Model-id,component_with_model_id,I_LightGBM_Dense_AF,30.583,94.889,23.3172,0.615,0.9992,16,7805
+ Thought,feature_groups,J_LightGBM_Dense_AF_Thought,34.9648,95.6394,26.039,0.6791,0.9613,16,7805
- Feedback,fine_grained_process,Abl_NoFeedback_LightGBM,35.77,95.77,26.12,0.74,0.97,16,7805
- Action,fine_grained_process,Abl_NoAction_LightGBM,35.34,95.43,25.93,0.74,1.0,16,7805
- Thought,fine_grained_process,Abl_NoThought_LightGBM,34.85,95.07,26.02,0.77,1.13,16,7805
Process-only,fine_grained_process,Abl_ProcessOnly_LightGBM,23.84,94.14,17.93,0.55,0.7,16,7805
Full (default-reg prior),component_default_reg,I_LightGBM_Dense_AF,32.03,94.84,25.08,0.6,1.11,16,7805
